order_id,order_number,product_key,customer_key,order_date,shipping_date,due_date,sales_amount,quantity,price
25,SO54506,290,14527,3/16/2013,3/23/2013,3/28/2013,4,1,4
26,SO54506,285,14527,3/16/2013,3/23/2013,3/28/2013,21,1,21
27,SO54506,246,14527,3/16/2013,3/23/2013,3/28/2013,35,1,35
28,SO54507,285,16815,3/16/2013,3/23/2013,3/28/2013,21,1,21
29,SO54507,259,16815,3/16/2013,3/23/2013,3/28/2013,2,1,2
30,SO54507,281,16815,3/16/2013,3/23/2013,3/28/2013,159,1,159
31,SO54508,284,13,3/16/2013,3/23/2013,3/28/2013,35,1,35
32,SO54508,289,13,3/16/2013,3/23/2013,3/28/2013,5,1,5
33,SO54508,244,13,3/16/2013,3/23/2013,3/28/2013,35,1,35
34,SO54509,284,732,3/16/2013,3/23/2013,3/28/2013,35,1,35
35,SO54509,289,732,3/16/2013,3/23/2013,3/28/2013,5,1,5
36,SO54509,174,732,3/16/2013,3/23/2013,3/28/2013,22,1,22
37,SO54509,234,732,3/16/2013,3/23/2013,3/28/2013,24,1,24
38,SO54510,284,3354,3/16/2013,3/23/2013,3/28/2013,35,1,35
39,SO54510,289,3354,3/16/2013,3/23/2013,3/28/2013,5,1,5
40,SO54510,246,3354,3/16/2013,3/23/2013,3/28/2013,35,1,35
41,SO54511,105,348,3/16/2013,3/23/2013,3/28/2013,9,1,9
42,SO54511,295,348,3/16/2013,3/23/2013,3/28/2013,5,1,5
43,SO54512,136,5897,3/16/2013,3/23/2013,3/28/2013,1701,1,1701
44,SO54512,295,5897,3/16/2013,3/23/2013,3/28/2013,5,1,5
45,SO54512,105,5897,3/16/2013,3/23/2013,3/28/2013,9,1,9
46,SO54513,136,3084,3/16/2013,3/23/2013,3/28/2013,1701,1,1701
47,SO54513,251,3084,3/16/2013,3/23/2013,3/28/2013,50,1,50
48,SO54514,117,3104,3/16/2013,3/23/2013,3/28/2013,769,1,769
49,SO54514,104,3104,3/16/2013,3/23/2013,3/28/2013,10,1,10
50,SO54514,295,3104,3/16/2013,3/23/2013,3/28/2013,5,1,5
51,SO54515,126,9425,3/16/2013,3/23/2013,3/28/2013,540,1,540
52,SO54515,295,9425,3/16/2013,3/23/2013,3/28/2013,5,1,5
53,SO54515,105,9425,3/16/2013,3/23/2013,3/28/2013,9,1,9
54,SO54516,127,9817,3/16/2013,3/23/2013,3/28/2013,540,1,540
55,SO54516,285,9817,3/16/2013,3/23/2013,3/28/2013,21,1,21
56,SO54516,290,9817,3/16/2013,3/23/2013,3/28/2013,4,1,4
57,SO54516,245,9817,3/16/2013,3/23/2013,3/28/2013,35,1,35
58,SO54516,250,9817,3/16/2013,3/23/2013,3/28/2013,50,1,50
59,SO54517,166,17829,3/16/2013,3/23/2013,3/28/2013,9,1,9
60,SO54517,150,17829,3/16/2013,3/23/2013,3/28/2013,742,1,742
61,SO54518,144,15330,3/16/2013,3/23/2013,3/28/2013,742,1,742
62,SO54518,105,15330,3/16/2013,3/23/2013,3/28/2013,9,1,9
63,SO54518,295,15330,3/16/2013,3/23/2013,3/28/2013,5,1,5
64,SO54518,247,15330,3/16/2013,3/23/2013,3/28/2013,55,1,55
65,SO54519,121,98,3/16/2013,3/23/2013,3/28/2013,2295,1,2295
66,SO54519,104,98,3/16/2013,3/23/2013,3/28/2013,10,1,10
67,SO54520,155,14367,3/16/2013,3/23/2013,3/28/2013,1215,1,1215
68,SO54520,288,14367,3/16/2013,3/23/2013,3/28/2013,29,1,29
69,SO54521,126,10655,3/16/2013,3/23/2013,3/28/2013,540,1,540
70,SO54521,105,10655,3/16/2013,3/23/2013,3/28/2013,9,1,9
71,SO54521,295,10655,3/16/2013,3/23/2013,3/28/2013,5,1,5
72,SO54521,250,10655,3/16/2013,3/23/2013,3/28/2013,50,1,50
73,SO54522,128,18401,3/16/2013,3/23/2013,3/28/2013,540,1,540
74,SO54522,295,18401,3/16/2013,3/23/2013,3/28/2013,5,1,5
75,SO54522,105,18401,3/16/2013,3/23/2013,3/28/2013,9,1,9
76,SO54522,294,18401,3/16/2013,3/23/2013,3/28/2013,64,1,64
77,SO54523,134,16144,3/16/2013,3/23/2013,3/28/2013,1120,1,1120
78,SO54523,105,16144,3/16/2013,3/23/2013,3/28/2013,9,1,9
79,SO54523,295,16144,3/16/2013,3/23/2013,3/28/2013,5,1,5
80,SO54523,246,16144,3/16/2013,3/23/2013,3/28/2013,35,1,35
81,SO54524,165,1631,3/16/2013,3/23/2013,3/28/2013,2384,1,2384
82,SO54524,246,1631,3/16/2013,3/23/2013,3/28/2013,35,1,35
83,SO54525,158,13106,3/16/2013,3/23/2013,3/28/2013,2384,1,2384
84,SO54525,245,13106,3/16/2013,3/23/2013,3/28/2013,35,1,35
85,SO54526,116,51,3/16/2013,3/23/2013,3/28/2013,769,1,769
86,SO54526,174,51,3/16/2013,3/23/2013,3/28/2013,22,1,22
87,SO54526,292,51,3/16/2013,3/23/2013,3/28/2013,64,1,64
88,SO54527,134,12415,3/17/2013,3/24/2013,3/29/2013,1120,1,1120
89,SO54527,246,12415,3/17/2013,3/24/2013,3/29/2013,35,1,35
90,SO54527,276,12415,3/17/2013,3/24/2013,3/29/2013,54,1,54
91,SO54528,123,1134,3/17/2013,3/24/2013,3/29/2013,2320,1,2320
92,SO54528,174,1134,3/17/2013,3/24/2013,3/29/2013,22,1,22
93,SO54528,104,1134,3/17/2013,3/24/2013,3/29/2013,10,1,10
94,SO54528,295,1134,3/17/2013,3/24/2013,3/29/2013,5,1,5
95,SO54528,246,1134,3/17/2013,3/24/2013,3/29/2013,35,1,35
96,SO54528,250,1134,3/17/2013,3/24/2013,3/29/2013,50,1,50
97,SO54529,282,3100,3/17/2013,3/24/2013,3/29/2013,25,1,25
98,SO54529,259,3100,3/17/2013,3/24/2013,3/29/2013,2,1,2
99,SO54530,166,2182,3/17/2013,3/24/2013,3/29/2013,9,1,9
100,SO54530,260,2182,3/17/2013,3/24/2013,3/29/2013,120,1,120
101,SO54531,272,15774,3/17/2013,3/24/2013,3/29/2013,70,1,70
102,SO54532,290,2642,3/17/2013,3/24/2013,3/29/2013,4,1,4
103,SO54532,246,2642,3/17/2013,3/24/2013,3/29/2013,35,1,35
104,SO54532,277,2642,3/17/2013,3/24/2013,3/29/2013,54,1,54
105,SO54532,233,2642,3/17/2013,3/24/2013,3/29/2013,24,1,24
106,SO54533,249,3060,3/17/2013,3/24/2013,3/29/2013,50,1,50
107,SO54533,233,3060,3/17/2013,3/24/2013,3/29/2013,24,1,24
108,SO54534,290,2628,3/17/2013,3/24/2013,3/29/2013,4,1,4
109,SO54534,278,2628,3/17/2013,3/24/2013,3/29/2013,54,1,54
110,SO54534,166,2628,3/17/2013,3/24/2013,3/29/2013,9,1,9
111,SO54535,139,12777,3/17/2013,3/24/2013,3/29/2013,2443,1,2443
112,SO54535,246,12777,3/17/2013,3/24/2013,3/29/2013,35,1,35
113,SO54536,117,17905,3/17/2013,3/24/2013,3/29/2013,769,1,769
114,SO54536,283,17905,3/17/2013,3/24/2013,3/29/2013,30,1,30
115,SO54537,290,181,3/17/2013,3/24/2013,3/29/2013,4,1,4
116,SO54537,244,181,3/17/2013,3/24/2013,3/29/2013,35,1,35
117,SO54538,291,16632,3/17/2013,3/24/2013,3/29/2013,5,1,5
118,SO54538,288,16632,3/17/2013,3/24/2013,3/29/2013,29,1,29
119,SO54539,285,16741,3/17/2013,3/24/2013,3/29/2013,21,1,21
120,SO54539,290,16741,3/17/2013,3/24/2013,3/29/2013,4,1,4
121,SO54540,285,16026,3/17/2013,3/24/2013,3/29/2013,21,1,21
122,SO54540,259,16026,3/17/2013,3/24/2013,3/29/2013,2,1,2
123,SO54541,288,15176,3/17/2013,3/24/2013,3/29/2013,29,1,29
124,SO54541,291,15176,3/17/2013,3/24/2013,3/29/2013,5,1,5
125,SO54541,247,15176,3/17/2013,3/24/2013,3/29/2013,55,1,55
126,SO54542,290,17683,3/17/2013,3/24/2013,3/29/2013,4,1,4
127,SO54542,286,17683,3/17/2013,3/24/2013,3/29/2013,25,1,25
128,SO54542,244,17683,3/17/2013,3/24/2013,3/29/2013,35,1,35
129,SO54543,287,14153,3/17/2013,3/24/2013,3/29/2013,33,1,33
130,SO54543,259,14153,3/17/2013,3/24/2013,3/29/2013,2,1,2
131,SO54544,287,13451,3/17/2013,3/24/2013,3/29/2013,33,1,33
132,SO54544,244,13451,3/17/2013,3/24/2013,3/29/2013,35,1,35
133,SO54545,235,13315,3/17/2013,3/24/2013,3/29/2013,24,1,24
134,SO54545,287,13315,3/17/2013,3/24/2013,3/29/2013,33,1,33
135,SO54546,283,12133,3/17/2013,3/24/2013,3/29/2013,30,1,30
136,SO54546,259,12133,3/17/2013,3/24/2013,3/29/2013,2,1,2
137,SO54546,168,12133,3/17/2013,3/24/2013,3/29/2013,8,1,8
138,SO54546,260,12133,3/17/2013,3/24/2013,3/29/2013,120,1,120
139,SO54547,289,12895,3/17/2013,3/24/2013,3/29/2013,5,1,5
140,SO54547,283,12895,3/17/2013,3/24/2013,3/29/2013,30,1,30
141,SO54547,244,12895,3/17/2013,3/24/2013,3/29/2013,35,1,35
142,SO54548,289,741,3/17/2013,3/24/2013,3/29/2013,5,1,5
143,SO54548,283,741,3/17/2013,3/24/2013,3/29/2013,30,1,30
144,SO54548,259,741,3/17/2013,3/24/2013,3/29/2013,2,1,2
145,SO54549,283,7555,3/17/2013,3/24/2013,3/29/2013,30,1,30
146,SO54549,289,7555,3/17/2013,3/24/2013,3/29/2013,5,1,5
147,SO54549,246,7555,3/17/2013,3/24/2013,3/29/2013,35,1,35
148,SO54550,283,186,3/17/2013,3/24/2013,3/29/2013,30,1,30
149,SO54550,289,186,3/17/2013,3/24/2013,3/29/2013,5,1,5
150,SO54550,246,186,3/17/2013,3/24/2013,3/29/2013,35,1,35
151,SO54551,104,12252,3/17/2013,3/24/2013,3/29/2013,10,1,10
152,SO54551,244,12252,3/17/2013,3/24/2013,3/29/2013,35,1,35
153,SO54552,104,2186,3/17/2013,3/24/2013,3/29/2013,10,1,10
154,SO54552,295,2186,3/17/2013,3/24/2013,3/29/2013,5,1,5
155,SO54552,247,2186,3/17/2013,3/24/2013,3/29/2013,55,1,55
156,SO54553,104,10699,3/17/2013,3/24/2013,3/29/2013,10,1,10
157,SO54553,295,10699,3/17/2013,3/24/2013,3/29/2013,5,1,5
158,SO54554,272,8853,3/17/2013,3/24/2013,3/29/2013,70,1,70
159,SO54555,272,7524,3/17/2013,3/24/2013,3/29/2013,70,1,70
160,SO54555,250,7524,3/17/2013,3/24/2013,3/29/2013,50,1,50
161,SO54555,166,7524,3/17/2013,3/24/2013,3/29/2013,9,1,9
162,SO54556,295,7553,3/17/2013,3/24/2013,3/29/2013,5,1,5
163,SO54557,295,7375,3/17/2013,3/24/2013,3/29/2013,5,1,5
164,SO54557,168,7375,3/17/2013,3/24/2013,3/29/2013,8,1,8
165,SO54558,295,6432,3/17/2013,3/24/2013,3/29/2013,5,1,5
166,SO54559,295,6489,3/17/2013,3/24/2013,3/29/2013,5,1,5
167,SO54560,289,5045,3/17/2013,3/24/2013,3/29/2013,5,1,5
168,SO54560,294,5045,3/17/2013,3/24/2013,3/29/2013,64,1,64
169,SO54561,290,5296,3/17/2013,3/24/2013,3/29/2013,4,1,4
170,SO54561,286,5296,3/17/2013,3/24/2013,3/29/2013,25,1,25
171,SO54561,244,5296,3/17/2013,3/24/2013,3/29/2013,35,1,35
172,SO54561,250,5296,3/17/2013,3/24/2013,3/29/2013,50,1,50
173,SO54561,234,5296,3/17/2013,3/24/2013,3/29/2013,24,1,24
174,SO54562,289,2765,3/17/2013,3/24/2013,3/29/2013,5,1,5
175,SO54562,284,2765,3/17/2013,3/24/2013,3/29/2013,35,1,35
176,SO54562,246,2765,3/17/2013,3/24/2013,3/29/2013,35,1,35
177,SO54563,286,3812,3/17/2013,3/24/2013,3/29/2013,25,1,25
178,SO54563,290,3812,3/17/2013,3/24/2013,3/29/2013,4,1,4
179,SO54563,168,3812,3/17/2013,3/24/2013,3/29/2013,8,1,8
180,SO54564,285,16002,3/17/2013,3/24/2013,3/29/2013,21,1,21
181,SO54564,166,16002,3/17/2013,3/24/2013,3/29/2013,9,1,9
182,SO54565,288,3536,3/17/2013,3/24/2013,3/29/2013,29,1,29
183,SO54566,291,16837,3/17/2013,3/24/2013,3/29/2013,5,1,5
184,SO54567,291,16927,3/17/2013,3/24/2013,3/29/2013,5,1,5
185,SO54568,291,17424,3/17/2013,3/24/2013,3/29/2013,5,1,5
186,SO54568,288,17424,3/17/2013,3/24/2013,3/29/2013,29,1,29
187,SO54569,291,15842,3/17/2013,3/24/2013,3/29/2013,5,1,5
188,SO54569,288,15842,3/17/2013,3/24/2013,3/29/2013,29,1,29
189,SO54569,166,15842,3/17/2013,3/24/2013,3/29/2013,9,1,9
190,SO54569,244,15842,3/17/2013,3/24/2013,3/29/2013,35,1,35
191,SO54570,288,1569,3/17/2013,3/24/2013,3/29/2013,29,1,29
192,SO54570,291,1569,3/17/2013,3/24/2013,3/29/2013,5,1,5
193,SO54570,234,1569,3/17/2013,3/24/2013,3/29/2013,24,1,24
194,SO54571,108,4861,3/17/2013,3/24/2013,3/29/2013,540,1,540
195,SO54572,117,2939,3/17/2013,3/24/2013,3/29/2013,769,1,769
196,SO54572,283,2939,3/17/2013,3/24/2013,3/29/2013,30,1,30
197,SO54572,289,2939,3/17/2013,3/24/2013,3/29/2013,5,1,5
198,SO54572,246,2939,3/17/2013,3/24/2013,3/29/2013,35,1,35
199,SO54572,250,2939,3/17/2013,3/24/2013,3/29/2013,50,1,50
200,SO54573,120,1190,3/17/2013,3/24/2013,3/29/2013,2295,1,2295
201,SO54573,174,1190,3/17/2013,3/24/2013,3/29/2013,22,1,22
202,SO54573,247,1190,3/17/2013,3/24/2013,3/29/2013,55,1,55
203,SO54574,125,1711,3/17/2013,3/24/2013,3/29/2013,2320,1,2320
204,SO54574,245,1711,3/17/2013,3/24/2013,3/29/2013,35,1,35
205,SO54575,137,7740,3/17/2013,3/24/2013,3/29/2013,1701,1,1701
206,SO54575,290,7740,3/17/2013,3/24/2013,3/29/2013,4,1,4
207,SO54575,286,7740,3/17/2013,3/24/2013,3/29/2013,25,1,25
208,SO54575,293,7740,3/17/2013,3/24/2013,3/29/2013,64,1,64
209,SO54576,127,15775,3/17/2013,3/24/2013,3/29/2013,540,1,540
210,SO54576,280,15775,3/17/2013,3/24/2013,3/29/2013,9,1,9
211,SO54577,142,7738,3/17/2013,3/24/2013,3/29/2013,2443,1,2443
212,SO54578,143,7748,3/17/2013,3/24/2013,3/29/2013,2443,1,2443
213,SO54578,105,7748,3/17/2013,3/24/2013,3/29/2013,9,1,9
214,SO54578,295,7748,3/17/2013,3/24/2013,3/29/2013,5,1,5
215,SO54578,277,7748,3/17/2013,3/24/2013,3/29/2013,54,1,54
216,SO54579,140,7711,3/17/2013,3/24/2013,3/29/2013,2443,1,2443
217,SO54579,105,7711,3/17/2013,3/24/2013,3/29/2013,9,1,9
218,SO54579,295,7711,3/17/2013,3/24/2013,3/29/2013,5,1,5
219,SO54579,278,7711,3/17/2013,3/24/2013,3/29/2013,54,1,54
220,SO54579,166,7711,3/17/2013,3/24/2013,3/29/2013,9,1,9
221,SO54580,149,17842,3/17/2013,3/24/2013,3/29/2013,742,1,742
222,SO54580,105,17842,3/17/2013,3/24/2013,3/29/2013,9,1,9
223,SO54580,295,17842,3/17/2013,3/24/2013,3/29/2013,5,1,5
224,SO54581,150,5755,3/17/2013,3/24/2013,3/29/2013,742,1,742
225,SO54581,105,5755,3/17/2013,3/24/2013,3/29/2013,9,1,9
226,SO54581,295,5755,3/17/2013,3/24/2013,3/29/2013,5,1,5
227,SO54582,125,907,3/17/2013,3/24/2013,3/29/2013,2320,1,2320
228,SO54582,174,907,3/17/2013,3/24/2013,3/29/2013,22,1,22
229,SO54582,104,907,3/17/2013,3/24/2013,3/29/2013,10,1,10
230,SO54582,295,907,3/17/2013,3/24/2013,3/29/2013,5,1,5
231,SO54582,245,907,3/17/2013,3/24/2013,3/29/2013,35,1,35
232,SO54583,159,13735,3/17/2013,3/24/2013,3/29/2013,2384,1,2384
233,SO54583,295,13735,3/17/2013,3/24/2013,3/29/2013,5,1,5
234,SO54583,105,13735,3/17/2013,3/24/2013,3/29/2013,9,1,9
235,SO54583,244,13735,3/17/2013,3/24/2013,3/29/2013,35,1,35
236,SO54583,248,13735,3/17/2013,3/24/2013,3/29/2013,50,1,50
237,SO54583,166,13735,3/17/2013,3/24/2013,3/29/2013,9,1,9
238,SO54584,128,10904,3/17/2013,3/24/2013,3/29/2013,540,1,540
239,SO54584,166,10904,3/17/2013,3/24/2013,3/29/2013,9,1,9
240,SO54585,139,7496,3/18/2013,3/25/2013,3/30/2013,2443,1,2443
241,SO54586,143,7497,3/18/2013,3/25/2013,3/30/2013,2443,1,2443
242,SO54586,290,7497,3/18/2013,3/25/2013,3/30/2013,4,1,4
243,SO54586,294,7497,3/18/2013,3/25/2013,3/30/2013,64,1,64
244,SO54586,287,7497,3/18/2013,3/25/2013,3/30/2013,33,1,33
245,SO54587,133,5516,3/18/2013,3/25/2013,3/30/2013,1120,1,1120
246,SO54587,246,5516,3/18/2013,3/25/2013,3/30/2013,35,1,35
247,SO54588,132,13890,3/18/2013,3/25/2013,3/30/2013,1120,1,1120
248,SO54588,286,13890,3/18/2013,3/25/2013,3/30/2013,25,1,25
249,SO54588,290,13890,3/18/2013,3/25/2013,3/30/2013,4,1,4
250,SO54588,260,13890,3/18/2013,3/25/2013,3/30/2013,120,1,120
251,SO54589,120,576,3/18/2013,3/25/2013,3/30/2013,2295,1,2295
252,SO54590,123,565,3/18/2013,3/25/2013,3/30/2013,2320,1,2320
253,SO54591,289,11007,3/18/2013,3/25/2013,3/30/2013,5,1,5
254,SO54591,284,11007,3/18/2013,3/25/2013,3/30/2013,35,1,35
255,SO54591,259,11007,3/18/2013,3/25/2013,3/30/2013,2,1,2
256,SO54592,289,10407,3/18/2013,3/25/2013,3/30/2013,5,1,5
257,SO54592,284,10407,3/18/2013,3/25/2013,3/30/2013,35,1,35
258,SO54592,244,10407,3/18/2013,3/25/2013,3/30/2013,35,1,35
259,SO54593,104,72,3/18/2013,3/25/2013,3/30/2013,10,1,10
260,SO54593,295,72,3/18/2013,3/25/2013,3/30/2013,5,1,5
261,SO54594,168,115,3/18/2013,3/25/2013,3/30/2013,8,1,8
262,SO54595,290,15785,3/18/2013,3/25/2013,3/30/2013,4,1,4
263,SO54595,244,15785,3/18/2013,3/25/2013,3/30/2013,35,1,35
264,SO54595,248,15785,3/18/2013,3/25/2013,3/30/2013,50,1,50
265,SO54596,259,1037,3/18/2013,3/25/2013,3/30/2013,2,1,2
266,SO54597,281,3313,3/18/2013,3/25/2013,3/30/2013,159,1,159
267,SO54598,136,10104,3/18/2013,3/25/2013,3/30/2013,1701,1,1701
268,SO54598,295,10104,3/18/2013,3/25/2013,3/30/2013,5,1,5
269,SO54598,105,10104,3/18/2013,3/25/2013,3/30/2013,9,1,9
270,SO54598,166,10104,3/18/2013,3/25/2013,3/30/2013,9,1,9
271,SO54599,135,6636,3/18/2013,3/25/2013,3/30/2013,1701,1,1701
272,SO54599,166,6636,3/18/2013,3/25/2013,3/30/2013,9,1,9
273,SO54600,107,3957,3/18/2013,3/25/2013,3/30/2013,540,1,540
274,SO54600,282,3957,3/18/2013,3/25/2013,3/30/2013,25,1,25
275,SO54600,259,3957,3/18/2013,3/25/2013,3/30/2013,2,1,2
276,SO54601,142,16938,3/18/2013,3/25/2013,3/30/2013,2443,1,2443
277,SO54601,287,16938,3/18/2013,3/25/2013,3/30/2013,33,1,33
278,SO54601,290,16938,3/18/2013,3/25/2013,3/30/2013,4,1,4
279,SO54601,259,16938,3/18/2013,3/25/2013,3/30/2013,2,1,2
280,SO54601,281,16938,3/18/2013,3/25/2013,3/30/2013,159,1,159
281,SO54602,141,1324,3/18/2013,3/25/2013,3/30/2013,2443,1,2443
282,SO54602,105,1324,3/18/2013,3/25/2013,3/30/2013,9,1,9
283,SO54602,295,1324,3/18/2013,3/25/2013,3/30/2013,5,1,5
284,SO54602,245,1324,3/18/2013,3/25/2013,3/30/2013,35,1,35
285,SO54602,166,1324,3/18/2013,3/25/2013,3/30/2013,9,1,9
286,SO54603,125,604,3/18/2013,3/25/2013,3/30/2013,2320,1,2320
287,SO54604,124,2561,3/18/2013,3/25/2013,3/30/2013,2320,1,2320
288,SO54604,104,2561,3/18/2013,3/25/2013,3/30/2013,10,1,10
289,SO54604,295,2561,3/18/2013,3/25/2013,3/30/2013,5,1,5
290,SO54605,290,200,3/18/2013,3/25/2013,3/30/2013,4,1,4
291,SO54605,259,200,3/18/2013,3/25/2013,3/30/2013,2,1,2
292,SO54606,166,17144,3/18/2013,3/25/2013,3/30/2013,9,1,9
293,SO54606,291,17144,3/18/2013,3/25/2013,3/30/2013,5,1,5
294,SO54607,249,1065,3/18/2013,3/25/2013,3/30/2013,50,1,50
295,SO54607,235,1065,3/18/2013,3/25/2013,3/30/2013,24,1,24
296,SO54608,286,17982,3/18/2013,3/25/2013,3/30/2013,25,1,25
297,SO54608,259,17982,3/18/2013,3/25/2013,3/30/2013,2,1,2
298,SO54609,285,8224,3/18/2013,3/25/2013,3/30/2013,21,1,21
299,SO54610,290,503,3/18/2013,3/25/2013,3/30/2013,4,1,4
300,SO54610,286,503,3/18/2013,3/25/2013,3/30/2013,25,1,25
301,SO54610,244,503,3/18/2013,3/25/2013,3/30/2013,35,1,35
302,SO54610,277,503,3/18/2013,3/25/2013,3/30/2013,54,1,54
303,SO54611,283,8837,3/18/2013,3/25/2013,3/30/2013,30,1,30
304,SO54611,279,8837,3/18/2013,3/25/2013,3/30/2013,9,1,9
305,SO54612,289,825,3/18/2013,3/25/2013,3/30/2013,5,1,5
306,SO54612,283,825,3/18/2013,3/25/2013,3/30/2013,30,1,30
307,SO54612,244,825,3/18/2013,3/25/2013,3/30/2013,35,1,35
308,SO54613,104,11010,3/18/2013,3/25/2013,3/30/2013,10,1,10
309,SO54614,289,8016,3/18/2013,3/25/2013,3/30/2013,5,1,5
310,SO54614,283,8016,3/18/2013,3/25/2013,3/30/2013,30,1,30
311,SO54614,245,8016,3/18/2013,3/25/2013,3/30/2013,35,1,35
312,SO54614,235,8016,3/18/2013,3/25/2013,3/30/2013,24,1,24
313,SO54615,289,11227,3/18/2013,3/25/2013,3/30/2013,5,1,5
314,SO54615,283,11227,3/18/2013,3/25/2013,3/30/2013,30,1,30
315,SO54616,283,12052,3/18/2013,3/25/2013,3/30/2013,30,1,30
316,SO54616,289,12052,3/18/2013,3/25/2013,3/30/2013,5,1,5
317,SO54617,295,3503,3/18/2013,3/25/2013,3/30/2013,5,1,5
318,SO54617,104,3503,3/18/2013,3/25/2013,3/30/2013,10,1,10
319,SO54618,104,3726,3/18/2013,3/25/2013,3/30/2013,10,1,10
320,SO54618,295,3726,3/18/2013,3/25/2013,3/30/2013,5,1,5
321,SO54618,247,3726,3/18/2013,3/25/2013,3/30/2013,55,1,55
322,SO54619,274,9309,3/18/2013,3/25/2013,3/30/2013,70,1,70
323,SO54620,274,9122,3/18/2013,3/25/2013,3/30/2013,70,1,70
324,SO54621,273,7522,3/18/2013,3/25/2013,3/30/2013,70,1,70
325,SO54621,250,7522,3/18/2013,3/25/2013,3/30/2013,50,1,50
326,SO54622,273,7602,3/18/2013,3/25/2013,3/30/2013,70,1,70
327,SO54623,295,12799,3/18/2013,3/25/2013,3/30/2013,5,1,5
328,SO54623,247,12799,3/18/2013,3/25/2013,3/30/2013,55,1,55
329,SO54623,168,12799,3/18/2013,3/25/2013,3/30/2013,8,1,8
330,SO54624,295,5966,3/18/2013,3/25/2013,3/30/2013,5,1,5
331,SO54624,245,5966,3/18/2013,3/25/2013,3/30/2013,35,1,35
332,SO54625,289,4407,3/18/2013,3/25/2013,3/30/2013,5,1,5
333,SO54625,259,4407,3/18/2013,3/25/2013,3/30/2013,2,1,2
334,SO54626,289,16301,3/18/2013,3/25/2013,3/30/2013,5,1,5
335,SO54626,259,16301,3/18/2013,3/25/2013,3/30/2013,2,1,2
336,SO54627,174,7920,3/18/2013,3/25/2013,3/30/2013,22,1,22
337,SO54627,244,7920,3/18/2013,3/25/2013,3/30/2013,35,1,35
338,SO54627,248,7920,3/18/2013,3/25/2013,3/30/2013,50,1,50
339,SO54628,289,5060,3/18/2013,3/25/2013,3/30/2013,5,1,5
340,SO54628,174,5060,3/18/2013,3/25/2013,3/30/2013,22,1,22
341,SO54628,260,5060,3/18/2013,3/25/2013,3/30/2013,120,1,120
342,SO54629,174,9087,3/18/2013,3/25/2013,3/30/2013,22,1,22
343,SO54629,244,9087,3/18/2013,3/25/2013,3/30/2013,35,1,35
344,SO54630,290,6632,3/18/2013,3/25/2013,3/30/2013,4,1,4
345,SO54630,244,6632,3/18/2013,3/25/2013,3/30/2013,35,1,35
346,SO54630,249,6632,3/18/2013,3/25/2013,3/30/2013,50,1,50
347,SO54630,166,6632,3/18/2013,3/25/2013,3/30/2013,9,1,9
348,SO54631,295,1491,3/18/2013,3/25/2013,3/30/2013,5,1,5
349,SO54631,276,1491,3/18/2013,3/25/2013,3/30/2013,54,1,54
350,SO54632,290,15897,3/18/2013,3/25/2013,3/30/2013,4,1,4
351,SO54632,279,15897,3/18/2013,3/25/2013,3/30/2013,9,1,9
352,SO54633,288,3547,3/18/2013,3/25/2013,3/30/2013,29,1,29
353,SO54634,291,5191,3/18/2013,3/25/2013,3/30/2013,5,1,5
354,SO54634,259,5191,3/18/2013,3/25/2013,3/30/2013,2,1,2
355,SO54635,291,1829,3/18/2013,3/25/2013,3/30/2013,5,1,5
356,SO54635,249,1829,3/18/2013,3/25/2013,3/30/2013,50,1,50
